,row_id,itemid,label,abbreviation,dbsource,linksto,category,unitname,param_type,conceptid
68,13631,224834,Temporary Ventricular Sens,Temp Ventricular Sens,metavision,chartevents,Cardiovascular (Pacer Data),,Text,
69,13632,224835,Temporary Ventricular Capture,Temp Ventricular Capture,metavision,chartevents,Cardiovascular (Pacer Data),,Text,
70,14538,226777,TempApacheIIScore,TempApacheIIScore,metavision,chartevents,Scores - APACHE II,None,Numeric,
71,14539,226778,TempApacheIIValue,TempApacheIIValue,metavision,chartevents,Scores - APACHE II,?F,Numeric,
72,12816,223872,Inspired Gas Temp.,Inspired Gas Temp.,metavision,chartevents,Respiratory,?C,Numeric,
73,14446,226329,Blood Temperature CCO (C),Blood Temp CCO (C),metavision,chartevents,Routine Vital Signs,?C,Numeric,
74,15271,228074,Number of attempts to perform (LP),Number of attempts to perform (LP),metavision,chartevents,Lumbar Puncture,,Text,
75,15285,228090,Number of attempts (THCEN),Number of attempts (THCEN),metavision,chartevents,Thoracentesis,None,Numeric,
76,12757,223761,Temperature Fahrenheit,Temperature F,metavision,chartevents,Routine Vital Signs,?F,Numeric,
77,12758,223762,Temperature Celsius,Temperature C,metavision,chartevents,Routine Vital Signs,?C,Numeric,
78,13684,225306,Number of Attempts (Intubation),Number of Attempts (Intubation),metavision,chartevents,Intubation,,Text,
